#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163703.394;20180524-163704.000;32.882308;-117.234904;4.0;233.0;285.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163703.907;20180524-163705.000;32.882328;-117.234898;4.0;246.4;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163704.410;20180524-163705.000;32.882334;-117.234894;4.0;246.4;281.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163704.891;20180524-163706.000;32.882334;-117.234894;3.0;262.1;286.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163705.393;20180524-163706.000;32.882272;-117.234986;3.0;262.1;297.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163705.893;20180524-163707.000;32.882285;-117.234981;3.0;267.6;276.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163706.395;20180524-163707.000;32.88233;-117.234898;3.0;267.6;293.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163706.894;20180524-163708.000;32.882313;-117.234921;3.0;272.6;279.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163707.397;20180524-163708.000;32.882313;-117.234921;3.0;272.6;302.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163707.897;20180524-163709.000;32.882311;-117.234928;3.0;270.5;271.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163708.397;20180524-163709.000;32.882311;-117.234928;3.0;270.5;257.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163708.900;20180524-163710.000;32.882304;-117.234902;3.0;267.9;236.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163709.399;20180524-163710.000;32.882311;-117.23492;3.0;267.9;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163709.900;20180524-163711.000;32.882317;-117.234908;3.0;270.7;204.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163710.400;20180524-163711.000;32.882317;-117.234908;3.0;270.7;203.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163710.902;20180524-163712.000;32.882321;-117.234899;3.0;266.1;182.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163711.420;20180524-163712.000;32.882314;-117.234907;3.0;266.1;199.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163711.903;20180524-163713.000;32.882321;-117.234909;3.0;260.1;170.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163712.406;20180524-163713.000;32.882325;-117.234885;3.0;260.1;177.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163712.901;20180524-163714.000;32.882325;-117.234885;3.0;241.1;191.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163713.407;20180524-163714.000;32.882318;-117.234909;3.0;241.1;169.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163713.923;20180524-163715.000;32.882318;-117.234909;3.0;215.0;146.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163714.425;20180524-163715.000;32.882325;-117.23491;3.0;215.0;258.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163714.911;20180524-163716.000;32.882326;-117.234908;3.0;197.8;168.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
